구분,국문,영문,비고
가격,"15,000원","15,000 KRW",
가격,"3,000원","3,000 KRW",
주소,"44952 울산광역시 울주군 알프스온천5길 103-8 영상체험관 B1, 울산울주세계산악영화제 사무국","Ulsan Ulju Mountain Film Festival office, B1, Experience House, 103-8 Alpeuseuoncheon 5-gil, Ulju-gun, Ulsan, Korea 44952",
전화번호,052 248 6450,+82 52 248 6450,
기관,국립밀양등산학교,National Miryang Mountaineering School,
기관,국립산악박물관,National Mountain Museum,
인명,엘리자베스 홀리,Elizabeth Hawley,
인명,버나데트 맥도날드,Bernadette McDonald,UMCA 수상자 | 2026 UMCA Recipient
인명,보이테크 쿠르티카,Wojciech Kurtyka,
용어,셰르파,Sherpa,히말라야 민족·공동체명
용어,보티야,Bhotia,히말라야 민족·공동체명
용어,발티,Balti,히말라야 민족·공동체명
용어,라다키,Ladakhi,히말라야 민족·공동체명
프로그램,차박 상영,Chabak Screening,
용어,원데이 티켓,One-day Ticket,
장소,이벤트부스,Event Booth,
인명,이재홍,LEE JAE HONG,
인명,최예슬,CHOI YESEUL,
인명,진수영,Sooyoung Chin,
인명,데이브 유,DAVE YOU,
인명,길기판,GillGipan Band,
인명,모린,MORE-IN,
인명,무드리스트,MOODLIST,
인명,홍진표 트리오,HJP Trio,
인명,버블드래곤,BUBBLE DRAGON,
인명,더블엠,DoubleM,
인명,엉클키드,Uncle Kid,
인명,후피밴드,Whoopy Band,
인명,더사운드스테이지앙상블 (김주원),The Sound Stage Ensemble (Naria Kim),
인명,진수영시네마앙상블,Sooyoung Chin Cinema Ensemble,
기관,스튜디오 감탄호,Studio Gamtanho,
기관,극단 '이상한 움직임',Theater 'Strange Movement',
인명,정수민,Sumin Jung,
인명,브라이언 신,,
인명,알안,Egg ALAN,
인명,정미조,Jeong Mijo,
인명,신연아,Yona Shin,
인명,스텔라장,Stella Jang,
인명,강승원,Kang Seung Won,
인명,루모스 트리오,Lumos Trio,
기관,퍼시픽 루터란 대학교,Pacific Lutheran University,
기관,밴프센터,Banff Centre,
기관,아카데미 오브 싱잉,Academy of Singing,
기관,밴프센터 산악문화 부문,Banff Centre for Mountain Culture,
기관,상명대학교 문화기술대학원,"The Graduate School of Cultural Technology, Sangmyung University",
기관,빛이나,SHINY Foundation,
기관,인천문화재단,Incheon Foundation for Arts & Culture (IFAC),
영화제명,밴프산악영화제,Banff Mountain Film Festival,
영화제명,밴프산악도서전,Banff Mountain Book Festival,
시상,태스커상,Boardman Tasker Prize,
시상,밴프산악도서전 대상,Banff Mountain Book Festival Grand Prize,
프로그램,알안,Egg ALAN,참여형 거리 탈인형극 공연명
프로그램,캔디봇 - 달콤한 불시착,Candybot: Sweet Crash Landing,
프로그램,캔디봇,Candybot,
프로그램,서커스 챌린지,The Circus Challenge,
장소,캐나다 서스캐처원주 비거,"Town of Biggar, Saskatchewan, Canada",
장소,양천구,Yangcheon-gu,
용어,「집으로」,"""Home""",
용어,「나지막이」,"""Softly""",
용어,"「L'Amour, Les Baguettes, Paris」","""L'Amour, Les Baguettes, Paris""",
용어,「20세기 캐럴」,"""20th Century Carol""",
용어,"「너에게로, 이별」","""To You, Farewell""",
용어,「실연」,"""Heartbreak""",
용어,<바람 바람 바람>,What a Man Wants,
용어,<올레>,Olleh,
장소,등억꽃향 Querencia,등억꽃향 Querencia,
인명,김성완,Sungwan Kim,
인명,뱅자맹 베드린,Benjamin Védrines,
인명,보우레인,Bowrain,
인명,아묻따밴드,AMUTTA BAND,
인명,신인류,Shin In Ryu,
인명,까치산,KACHISAN,
인명,송소희,SONG SOHEE,
인명,카더가든,"Car, the garden",
기관,국토지리정보원,,
용어,「끝까지 달린다」,"""Run Till The End""",
프로그램,거리공연,UMFF Street Performance,
프로그램,버스킹,Busking,
프로그램,거리극,Parade,
프로그램,퍼포먼스,Performance,
프로그램,언플러그드,Unplugged,
장소,공예 체험,Craft Class Zone,
용어,티켓교환권,ticket voucher,
용어,식음료 쿠폰,food voucher,
영화명,K2: 그림자를 따라서,K2 Chasing Shadows,
영화명,여전히 항해 중,Still Afloat,
영화명,너를 향한 3000km,3000km by Bike,
영화명,숨겨진 계곡,Beyul,
영화명,산불 진화대 2045,Brigade 2045,
영화명,황금 골짜기의 챔피언들,Champions of the Golden Valley,
영화명,마리안의 마지막 도전,I Follow Rivers,
영화명,사라진 나무,Kukata Miti,
영화명,전설의 라이트닝 할배,Old Man Lightning,
영화명,은광,Silver,
영화명,잃어버린 뿌리,"SUSTRAIAK, lost roots",
영화명,산은 변하지 않는다,The Mountain Won't Move,
영화명,숲의 속삭임,Whispers in the Woods,
영화명,둥글게 둥글게,Round and Round,
영화명,크로노쇼크,Kronoshock,
영화명,그린란드의 스키 가이드,Shaped by Land,
영화명,최고의 하루!,Best Day Ever,
영화명,고대 정령의 경고,Chuuraa,
영화명,낭가 파르밧: 시시포스의 메아리,Nanga Parbat - Echoes of Sisyphus,
영화명,"로키의 왕, 로브슨",Robson,
영화명,자히르,Zahir,
영화명,심연 속으로,A Drop in the Ocean,
영화명,남극에서 온 편지,Alone in Antarctica,
영화명,K2의 실종,Beyond The Wetlands,
영화명,눈 위의 질주,Downhill Skiers - Ain't No Mountain Steep Enough,
영화명,협곡 탐험,Find Mòr,
영화명,코야반 이야기,Koyaban: Keepers of the Mountain,
영화명,셰르파,Sherpa,
영화명,스페이스 카우보이,Space Cowboy,
영화명,빌리,BILLY,
영화명,칸첸중가: 최후의 5미터,The Five Treasures of the Snows,
영화명,한 걸음 더,The Extra Mile,
영화명,산속의 대화,Fémene,
영화명,프로스트 이야기,Frost Without Snow and Ice,
영화명,제이슨의 나무 상자,JASON'S BOX,
영화명,마지막 라마,The Lama's Son,
영화명,화이트 스노우,White Snow,
영화명,이야기 속의 이야기,The Tales of the Tale,
영화명,올챙이와 나,Polliwog,
영화명,마지막 땅,SOIL,
영화명,초원을 향해,Long Way to the Pasture,
영화명,판타스틱 판타!,Fantastique,
영화명,브루클린의 Z급 감독을 좋아하게 됐어,I Fell in Love with a Z-Grade Director in Brooklyn,
영화명,미로,Maze,
영화명,내일의 민재,Tomorrow's Min-Jae,
영화명,텐,Ten,
영화명,빵과 골목,Bread and Alley,
영화명,정돈된 혹은 어지러운,Orderly or Disorderly,
영화명,합창단,The Chorus,
영화명,노,No,
영화명,집으로 데려다 주오,Take Me Home,
영화명,회생,Karma,
영화명,아코디언 도어,The Accordion Door,
영화명,공순이,Water Deer,
영화명,이어지는 자리,Palimpsest,
영화명,치킨런,Chicken Run,
영화명,비록 우리가 유령일지라도,Even if We Are Ghosts,
영화명,비밀일기,Between Us,
영화명,해질무렵,In Our Sunset,
영화명,물질,MulJil: Diving,
영화명,꽃 사진을 찍는 남자,A Man Who Takes Pictures of Flowers,
영화명,말 두 없이,UNSPOKEN,
영화명,메밀묵,Memil,
영화명,얼씨구,Allssigu,
영화명,전통을 빚는 여성들,Ancestral Pottery,
영화명,건전지 할머니,BATTERY GRANDMA,
영화명,디드 낫 피니쉬,Did Not Finish,
영화명,몬순의 전령들,Heralds of the Monsoon,
영화명,숨바꼭질,HIDE AND SEEK,
영화명,화합로71번길,Hwahap-ro 71street,
영화명,역사의 한 겹,Layers In History,
영화명,리틀 스튜어디스,Little Stewardess,
영화명,1대 다수의 사랑,Midlife 'Fan'tasy,
영화명,"달달이는 내 룸메","My Roommate, Daldal",
영화명,새로운 시대,Rise Age,
영화명,소우주,SOUJU,
영화명,빈틈,"The Human Flaw : Perfect AI, Imperfect Man",
영화명,마법의 땅,The Magic Garden,
영화명,빵!울 토마토,tomaTO!,
영화명,소리숲,Forest of Sound,
영화명,작은 용의 바다,Under the Wave off Little Dragon,
영화명,울피,Wolfie,
영화명,라이딩 타임,Riding Time,
영화명,알레시 쿠나베르의 초상,Aleš Kunaver and Our First Expeditions to the World's Highest Mountains,
영화명,산의 전사들,Alpine Warriors,
영화명,블록 5,Block 5,
영화명,가족 치료,Family Therapy,
영화명,"안녕, 키케츠","Good Luck, Kekec",
영화명,키케츠,Kekec,
영화명,마법의 정원 이야기,Tales from the Magic Garden,
영화명,목사 얀야,Woman of God,
영화명,바람이 그리는 선,Wind Lines,
영화명,협곡의 슬랙라이너,Danger Do Not Look Out,
영화명,마지막 비둘기 사냥꾼,Abata,
영화명,볼터들의 초상,Looking Back. The Art of Bolting,
영화명,어느 초등의 기록,The Barking of the Stars,
영화명,"돌, 종이, 연필","Stone, Paper, Pencil",
영화명,너의 히말라야,Hire Himalaya,
영화명,빙하의 서사시,Natura Fugit,
영화명,손님 접대법,Our Hospitality,
영화명,홈캠,HOMECAM,
영화명,다섯 번째 흉추,The Fifth Thoracic Vertebra,
영화명,정육점집 외아들,The Only Child in the Butchery,
영화명,유전,Hereditary,
영화명,엑소시스트,The Exorcist,
영화명,컨저링,The Conjuring,
영화명,도반,Doban,
영화명,산 사람,"The living, The mountain",
영화명,나의 곳,A Place of My Own,
영화명,눈의 나이,Age of snow,
영화명,너는 볼 수 없는 이야기,The Story You Are Not In,
영화명,도시에 보내는 편지,TO MY CITY,
영화명,반야의 시간,Time of Prajna,
영화명,오락가락,The Reason,
프로그램,데크 극장,Deck Cinema,
프로그램,텐트 극장,Tent Cinema,
프로그램,차박 극장,Chabak Cinema,
인명,"다비드 아르노, 휴고 클루조","David Arnaud, Hugo Clouzeau",
인명,곤자가 만소,Gonzaga Manso,
인명,이반 베스코보,Iván Vescovo,
인명,"프란체스코 클레리치, 안젤리카 파스토렐라","Francesco Clerici, Angelica Pastorella",
인명,올리비아 루엥가스 마가냐,Olivia Luengas Magaña,
인명,벤 스터글루스키,Ben Sturgulewski,
인명,바보라 홀란,Barbora Hollan,
인명,다니엘 쾨터,Daniel Kötter,
인명,던 키시,Dawn Kish,
인명,나탈리아 코니아시,Natalia Koniarz,
인명,루이스 아리에타 에체베리아,Luis Arrieta Etxeberria,
인명,페트라 셀리슈카르,Petra Seliškar,
인명,뱅상 뮈니에,Vincent Munier,
인명,파올로 비나티,Paolo Vinati,
인명,이그나시 로페스 파브레가스,Ignasi López Fàbregas,
인명,에밀리 설리번,Emily Sullivan,
인명,"번 브라우디, 벤 나이트","Berne Broudy, Ben Knight",
인명,예브게니아 아르부가예바,Evgenia Arbugaeva,
인명,톰 다우어,Tom Dauer,
인명,필립 포시,Philip Forsey,
인명,쥘리앵 나디라스,Julien Nadiras,
인명,왕허뤄,Holo Wang,
인명,"김영미, 김지영","Kim Young-mi, Kim Jee-young",
인명,아르살란 마지드,Arsalan Majid,
인명,제럴드 살미나,Gerald Salmina,
인명,"스티브 스몰, 샬럿 워크맨","Steve Small, Charlotte Workman",
인명,후카자와 신야,Shinya Fukasawa,
인명,제니퍼 피돔,Jennifer Peedom,
인명,"마라 스트라우치, 브라이스 리빗","Marah Strauch, Bryce Leavitt",
인명,파블로 다미안 스치엘,Pablo Damián Schiel,
인명,"존 포터, 돔 부시","John Porter, Dom Bush",
인명,하파엘 두아르트,Rafael Duarte,
인명,엘레나 고아텔리,Elena Goatelli,
인명,아스게이르 헬게스타드,Asgeir Helgestad,
인명,미하엘 스트라스부르거,Michael Strassburger,<제이슨의 나무 상자> 감독 | JASON'S BOX Director
인명,케상 체텐,Kesang Tseten,
인명,프라빈 모르칼레,Praveen Morchhale,
인명,"쑹청잉, 후칭야","Song Cheng-ying, Hu Chin-ya",
인명,율리아 슈칼라,Julia Skala,
인명,카타리나 라드밀로비치,Katarina Radmilović,
인명,일기즈-셰르니야즈 투르순베크 우울루,Ilgiz-Sherniiaz Tursunbek Uulu,
인명,마르욜라인 프린스,Marjolijn Prins,
인명,정범,Jeong Beom,
인명,우가나 겐이치,Ugana Kenichi,
인명,신선,Shin Sun,
인명,박용재,Park Young-jae,
인명,압바스 키아로스타미,Abbas Kiarostami,
인명,김면우,Kim Myun-woo,
인명,손경수,Son Kyeong-su,
인명,유소영,Yu So-young,
인명,박지원,Park Ji-won,
인명,육상필,Yook Sang-feel,
인명,김은영,Kim Eun-young,
인명,송진경,Song Jin-kyung,
인명,김소연,Kim So-yeon,
인명,유영은,Yoo Young-eun,
인명,이유현,Yoo Lee,
인명,오선주,Oh Seon-ju,
인명,김정민,Kim Jung-min,
인명,타탸나 토이어,Tatjana Theuer,
인명,김문경,Kim Moon-kyung,
인명,손창은,Son Chang-eun,
인명,탁기영,Tak ki-young,
인명,길례르미 바칼야오,Guilherme Bacalhao,
인명,"황의석, 최연아","Hwang Eui-seok, Choi Yeon-ah",
인명,김다원,Kim Da-won,
인명,이정선,Lee Jung-sun,
인명,"유예진, 박유영, 조혜령","Yoo Ye-jin, Park Yu-young, Cho Hye-ryeong",
인명,손민규,Son Min-kyu,
인명,연예주,Yeon Ye-ju,
인명,프힐리페 카스트네르,Philippe Kastner,
인명,전승배,Jeon Seung-bae,
인명,미라 크리슈나무르티,Meera Krishnamurthy,
인명,박형남,Pak Hyung-nam,
인명,뤄젠,Luo Jian,
인명,"나이라 카르네이루, 칼런 하르트","Naira Carneiro, Carlon Hardt",
인명,박하윤,Park Ha-yun,
인명,최열음,Choi Yeol-eum,
인명,"루파 고지네니, 파르한 뭄타즈","Roopa Gogineni, Farhaan Mumtaz",
인명,유레 슈크를레프,Jure Škrlep,
인명,스티페 보지츠,Stipe Bozic,
인명,클레멘 드보르니크,Klemen Dvornik,
인명,소냐 프로센츠,Sonja Prosenc,
인명,요제 갈레,Jože Gale,
인명,"다비드 수쿱, 파트릭 파슈, 레온 비드마르, 장 클로드 로젝","David Súkup, Patrik Pašš, Leon Vidmar, Jean-Claude Rozec",
인명,마야 프레트네르,Maja Prettner,
인명,야니레 에차베,Janire Etxabe,
인명,다니엘 카스칼레스 그라나도스,Daniel Cascales Granados,
인명,"아네르 에체베리아, 파블로 비달","Aner Etxebarria, Pablo Vidal",
인명,알폰소 가르시아,Alfonso García,
인명,나고레 에세이사,Nagore Eceiza,
인명,욘 에랑스,Jon Herranz,
인명,알베르토 이뉴라테히,Alberto Iñurrategi,
인명,헤수스 마리 라즈카노,Jesus Mari Lazkano,
인명,버스터 키튼,Buster Keaton,
인명,오세호,Oh Se-ho,
인명,박세영,Park Sye-young,
인명,유형준,Yoo Hyoung-joon,
인명,아리 애스터,Ari Aster,
인명,윌리엄 프리드킨,William Friedkin,
인명,제임스 완,James Wan,
인명,신나리,Shin Na-ri,
인명,최진영,Choi Jin-young,
인명,안선영,Ahn Sun-young,
인명,김혜미,Kim Hye-mi,
인명,"씨네콜라주 (정지영, 이진승)","Jeong Ji-young, Lee Jin-seung",
인명,"파랑새 (김동한, 이수진)","Kim Dong-han, Lee Su-jin",
인명,"OCU (이신영, 홍진표)","Lee Shin-young, Hong Jin-pyo",
인명,"언바운드 [Unbound] (김연혜, 김진녕, 최현민)","Kim yeon-hye, Kim jin-nyeong, Choi hyeon-min",
인명,홍경민,Hong Kyung-min,
인명,조영수,Cho Young Soo,
인명,전인혁,Jeon In-hyuk,
인명,김준현,Kim Jun hyun,
인명,조정민,Jo Jung-min,
인명,이찬원,Lee Chan-won,
인명,한태인,HAN TAEIN,
인명,김진호,KIM JINHO,
인명,최선용,CHOI SEONYONG,
인명,실보 카로,Silvo Karo,알피니스트 | Alpinist
인명,김동수,Kim Dong-soo,"하루재 편집장·번역가 | Editor-in-Chief of Haroojae Club, Translator"
인명,오영훈,Oh Young-hoon,고산등반 기록가·국제산악연맹 이사 | High-Altitude Climbing Historian / UIAA Board Member
인명,장다나,Jang Da-na,울산울주세계산악영화제 프로그래머 | Programmer
인명,김영미,Kim Young-mi,"감독, 주인공 | Director, Protagonist"
인명,곽정혜,Kwak Jeong-hye,대한산악연맹 학술문화이사 | Academic and cultural director of KAF
인명,미리암 모주간,Miriam Možgan,주한 슬로베니아 대사 내정자 | Ambassador-designate of the Republic of Slovenia to the Republic of Korea
인명,블라시 베베르,Blaž Veber,블레드 관광청장 | Bled Tourist Board Director
인명,박명환,Park Myung-hwan,경남산악연맹 부회장·작가 | Vice President of the Gyeongnam Alpine Federation / Author
인명,서현우,Seo Hyun-woo,월간「산」기자 | Monthly San Journalist
인명,손재식,Sohn Jae-shik,한국산서회 명예회장 | Honorary Chairman of Korean Alpen Book Club
인명,안치영,An Chi-young,대장 | Expedition Leader
인명,최형욱,Choi Hyung-wook,행정 | Administration
인명,이의준,Lee Eui-jun,장비 | Equipment
인명,백종민,Baek Jong-min,기록 | Documentation
인명,이상국,Lee Sang-kook,식량 | Provisions
인명,배서영,Bae Seo-young,통신 | Communications
인명,최지호,Choi Ji-ho,수송 | Logistics
인명,남종영,Nam Jong-young,기후변화와동물연구소장 | Director of Centre for Climate Change and Animals
인명,수잔 샤키야,Shakya Sujan Ratna,"방송인,『지극히 사적인 네팔』 저자 | Entertainer, Author"
인명,이진승,Lee Jin-seung,<도반> 프로듀서 | Doban Producer
인명,정지영,Jeong Ji-young,<너는 볼 수 없는 이야기> 감독 | The Story You Are Not In Director
인명,김영조,Kim Young-jo,다큐멘터리 감독 | Documentary Director
인명,문태호,Moon Tae-ho,"움직임 크리에이터 뻔더 | Movement creator, FUNDAMENTAL"
인명,김명재,Kim Myeong-jae,"움직임 크리에이터 뻔더 | Movement creator, FUNDAMENTAL"
인명,김포도,Kim Po-do,"매거진탁·프레스탁 대표 | Publisher of press tac, magazine tac"
인명,능행스님,Neunghaeng,재단법인 정토마을 | Jungtohsagwanjajaehoe Foundation
인명,이명인 교수,Lee Myong-in,"울산과학기술연구원 폭염연구센터장, 도시환경공학과 교수 | UNIST Heatwave Research Center Director, Department of Civil, Urban, Earth, and Environmental Engineering Professor"
영화제명,제11회 울산울주세계산악영화제,11th Ulsan Ulju Mountain Film Festival,
영화제명,2026 울산울주세계산악영화제,Ulsan Ulju Mountain Film Festival 2026,
장소,숲속 극장,Forest Cinema,
섹션,율리안 알프스 - 슬로베니아,Julian Alps - SLOVENIA,
섹션,"헬로, 빌바오-비스카이아!","Hello, Bilbao-Bizkaia!",
섹션,특별상영,Special Screening,
섹션,- 2026 움프서밋,- UMFFsummit 2026,
섹션,- 2026 움프멘터리,- UMFFmentary 2026,
프로그램,상영 전 해설,Pre-Screening Presentation,
용어,AR 글래스,AR glasses,
영화명,노크,Knock,
